index,SXXJ number,Container,Date,Time_UTC,Latitude,Longitude,Accuracy,Active,Reverse,Sleep,Door,Mount,Motion,GForce,Tilt,Temperature,Humidity,Light,Origin,Destination
#,[No],[No],[yyyy-MM-dd],[hh:mm:ss],[deg decimal],[deg decimal],[m],[1=yes|0=no],[1=yes|0=no],[1=yes|0=no],[1=open|0=closed],[1=not mounted|0=mounted],[1=motion|0=no motion],[g],[deg],[Celsius],[%],[Lux],[],[]
0,A,NONE,2016-08-08,14:39:36,NA,NA,NA,0,0,1,1,1,0,NA,NA,NA,NA,NA,,
1,A,NONE,2016-08-08,14:39:45,NA,NA,NA,0,0,1,1,1,0,NA,NA,NA,NA,NA,,
2,A,NONE,2016-08-08,14:40:34,25.794100,-80.369301,cellid,0,0,1,1,1,0,NA,NA,NA,NA,NA,,
3,A,NONE,2016-08-08,15:57:46,NA,NA,NA,1,0,0,0,0,0,0.000,NA,29.800,75.700,NA,,
4,A,NONE,2016-08-08,15:58:50,25.799700,-80.367302,cellid,1,0,0,0,0,0,0.000,NA,29.900,73.000,NA,,
5,A,NONE,2016-08-08,16:00:07,25.806801,-80.367798,30,1,0,0,0,0,0,0.000,NA,29.900,72.800,NA,,
6,A,NONE,2016-08-08,16:00:54,25.806801,-80.367798,30,1,0,0,0,0,0,0.000,NA,30.100,72.900,NA,,
7,A,NONE,2016-08-08,20:11:33,NA,NA,NA,1,0,0,0,0,1,1.500,NA,27.100,75.000,NA,,
8,A,NONE,2016-08-08,21:59:07,26.074301,-80.121101,20,1,0,0,0,0,0,0.000,NA,26.100,75.200,NA,,
9,A,NONE,2016-08-09,03:59:08,26.074200,-80.121201,20,1,0,0,0,0,0,0.000,NA,25.600,71.200,NA,,
10,A,NONE,2016-08-09,04:00:09,26.074200,-80.121201,20,1,0,0,0,0,0,0.000,NA,25.600,71.400,NA,,
11,A,NONE,2016-08-09,04:01:54,26.074200,-80.121201,20,1,0,0,0,0,0,0.000,NA,25.900,69.800,NA,,
12,A,NONE,2016-08-09,09:59:37,26.074200,-80.120903,30,1,0,0,0,0,0,0.000,NA,27.600,67.600,NA,,
13,A,NONE,2016-08-09,15:59:07,26.074200,-80.121399,10,1,0,0,0,0,0,0.000,NA,37.000,51.000,NA,,
14,A,NONE,2016-08-09,16:00:10,26.074200,-80.121399,10,1,0,0,0,0,0,0.000,NA,37.000,51.000,NA,,
15,A,NONE,2016-08-09,16:00:50,26.074200,-80.121399,10,1,0,0,0,0,0,0.000,NA,37.000,51.200,NA,,
16,A,NONE,2016-08-09,21:59:25,26.074301,-80.120903,10,1,0,0,0,0,0,0.000,NA,31.500,66.400,NA,,
17,A,NONE,2016-08-10,03:59:26,26.074100,-80.121002,10,1,0,0,0,0,0,0.000,NA,27.200,71.500,NA,,
18,A,NONE,2016-08-10,04:00:11,26.074100,-80.121002,10,1,0,0,0,0,0,0.000,NA,27.200,71.700,NA,,
19,A,NONE,2016-08-10,04:02:21,26.074100,-80.121002,10,1,0,0,0,0,0,0.000,NA,27.300,71.000,NA,,
20,A,NONE,2016-08-10,04:02:45,26.074100,-80.121002,10,1,0,0,0,0,0,0.000,NA,27.300,70.800,NA,,
21,A,NONE,2016-08-10,09:59:25,26.074200,-80.121101,10,1,0,0,0,0,0,0.000,NA,25.600,71.400,NA,,
22,A,NONE,2016-08-10,14:47:56,NA,NA,NA,1,0,0,0,0,1,4.400,NA,35.200,53.500,NA,,
23,A,NONE,2016-08-10,15:07:40,NA,NA,NA,1,0,0,0,0,1,5.100,NA,36.000,52.400,NA,,
