Date,Price,Action,Profits
2011-01-03,1271.869995,Sit,0.0
2011-01-04,1270.199951,Buy,0.0
2011-01-05,1276.560059,Sell,6.36
2011-01-06,1273.849976,Sit,0.0
2011-01-07,1271.5,Sit,0.0
2011-01-10,1269.75,Sit,0.0
2011-01-11,1274.47998,Sit,0.0
2011-01-12,1285.959961,Sit,0.0
2011-01-13,1283.76001,Sit,0.0
2011-01-14,1293.23999,Buy,0.0
2011-01-18,1295.02002,Sell,1.78
2011-01-19,1281.920044,Buy,0.0
2011-01-20,1280.26001,Buy,0.0
2011-01-21,1283.349976,Sell,1.43
2011-01-24,1290.839966,Sit,0.0
2011-01-25,1291.180054,Sell,10.92
2011-01-26,1296.630005,Buy,0.0
2011-01-27,1299.540039,Buy,0.0
2011-01-28,1276.339966,Sell,-20.29
2011-01-31,1286.119995,Sell,-13.42
2011-02-01,1307.589966,Sit,0.0
2011-02-02,1304.030029,Sit,0.0
2011-02-03,1307.099976,Sit,0.0
2011-02-04,1310.869995,Buy,0.0
2011-02-07,1319.050049,Sit,0.0
2011-02-08,1324.569946,Sell,13.7
2011-02-09,1320.880005,Sit,0.0
2011-02-10,1321.869995,Sit,0.0
2011-02-11,1329.150024,Sit,0.0
2011-02-14,1332.319946,Sit,0.0
2011-02-15,1328.01001,Sit,0.0
2011-02-16,1336.319946,Sit,0.0
2011-02-17,1340.430054,Sit,0.0
2011-02-18,1343.01001,Sit,0.0
2011-02-22,1315.439941,Sit,0.0
2011-02-23,1307.400024,Buy,0.0
2011-02-24,1306.099976,Buy,0.0
2011-02-25,1319.880005,Sell,12.48
2011-02-28,1327.219971,Buy,0.0
2011-03-01,1306.329956,Sell,0.23
2011-03-02,1308.439941,Sit,0.0
2011-03-03,1330.969971,Buy,0.0
2011-03-04,1321.150024,Sit,0.0
2011-03-07,1310.130005,Sit,0.0
2011-03-08,1321.819946,Buy,0.0
2011-03-09,1320.02002,Sell,-7.2
2011-03-10,1295.109985,Buy,0.0
2011-03-11,1304.280029,Buy,0.0
2011-03-14,1296.390015,Buy,0.0
2011-03-15,1281.869995,Buy,0.0
2011-03-16,1256.880005,Sell,-74.09
2011-03-17,1273.719971,Sell,-48.1
2011-03-18,1279.209961,Buy,0.0
2011-03-21,1298.380005,Sit,0.0
2011-03-22,1293.77002,Sell,-1.34
